,country,year,iso_code,co2,co2_per_capita,co2_growth_abs,coal_co2,oil_co2,gas_co2,cumulative_co2,population
273,Africa,1851,,0.0,0.0,0.0,,,,0.0,112843149.0
274,Africa,1852,,0.0,0.0,0.0,,,,0.0,113379285.0
275,Africa,1853,,0.0,0.0,0.0,,,,0.0,113793047.0
276,Africa,1854,,0.0,0.0,0.0,,,,0.0,114216849.0
277,Africa,1855,,0.0,0.0,0.0,,,,0.0,114631842.0
278,Africa,1856,,0.0,0.0,0.0,,,,0.0,115057009.0
279,Africa,1857,,0.0,0.0,0.0,,,,0.0,115486119.0
280,Africa,1858,,0.0,0.0,0.0,,,,0.0,115919245.0
281,Africa,1859,,0.0,0.0,0.0,,,,0.0,116365125.0
282,Africa,1860,,0.0,0.0,0.0,,,,0.0,116988636.0
283,Africa,1861,,0.0,0.0,0.0,,,,0.0,117301876.0
284,Africa,1862,,0.0,0.0,0.0,,,,0.0,117778853.0
285,Africa,1863,,0.0,0.0,0.0,,,,0.0,118275288.0
286,Africa,1864,,0.0,0.0,0.0,,,,0.0,118775558.0
287,Africa,1865,,0.0,0.0,0.0,,,,0.0,119279686.0
288,Africa,1866,,0.0,0.0,0.0,,,,0.0,119787704.0
289,Africa,1867,,0.0,0.0,0.0,,,,0.0,120299649.0
290,Africa,1868,,0.0,0.0,0.0,,,,0.0,120815545.0
291,Africa,1869,,0.0,0.0,0.0,,,,0.0,121347692.0
292,Africa,1870,,0.0,0.0,0.0,,,,0.0,122079985.0
293,Africa,1871,,0.0,0.0,0.0,,,,0.0,122466078.0
294,Africa,1872,,0.0,0.0,0.0,,,,0.0,123041990.0
295,Africa,1873,,0.0,0.0,0.0,,,,0.0,123641171.0
296,Africa,1874,,0.0,0.0,0.0,,,,0.0,124245323.0
297,Africa,1875,,0.0,0.0,0.0,,,,0.0,124854484.0
298,Africa,1876,,0.0,0.0,0.0,,,,0.0,125468701.0
299,Africa,1877,,0.0,0.0,0.0,,,,0.0,126088007.0
300,Africa,1878,,0.0,0.0,0.0,,,,0.0,126712451.0
301,Africa,1879,,0.0,0.0,0.0,,,,0.0,127352247.0
302,Africa,1880,,0.0,0.0,0.0,,,,0.0,128189317.0
303,Africa,1881,,0.0,0.0,0.0,,,,0.0,128683453.0
304,Africa,1882,,0.0,0.0,0.0,,,,0.0,129364909.0
305,Africa,1883,,0.0,0.0,0.0,,,,0.0,130067281.0
306,Africa,1884,,0.022,0.0,0.022,0.022,0.0,0.0,0.022,130775459.0
307,Africa,1885,,0.037,0.0,0.015,0.037,0.0,0.0,0.059,131489484.0
308,Africa,1886,,0.048,0.0,0.011,0.048,0.0,0.0,0.106,132209404.0
309,Africa,1887,,0.048,0.0,0.0,0.048,0.0,0.0,0.154,132935290.0
310,Africa,1888,,0.081,0.001,0.033,0.081,0.0,0.0,0.234,133667182.0
311,Africa,1889,,0.132,0.001,0.051,0.132,0.0,0.0,0.366,134316240.0
