country,year,iso_code,co2,co2_per_capita,co2_growth_abs,coal_co2,oil_co2,gas_co2,cement_co2,cumulative_co2,cumulative_luc_co2,land_use_change_co2,population,gdp,entity_type,fossil_emissions,coal_share,oil_share,gas_share
Afghanistan,2019,AFG,11.082,0.293,0.264,3.955,6.843,0.246,0.038,194.437,860.417,0.33,37769496.0,,Country,11.044,0.3581130025353133,0.6196124592538935,0.02227453821079319
Aland Islands,2019,ALA,,,,,,,,,5.276,0.0,,,Country,,,,
Albania,2019,ALB,4.947,1.722,-0.037,0.322,3.44,0.132,1.048,284.491,454.263,0.22,2873883.0,,Country,3.894,0.08269131997945557,0.8834103749357987,0.03389830508474576
Algeria,2019,DZA,179.505,4.203,5.593,1.096,59.158,91.25,11.028,4513.793,1231.617,2.162,42705372.0,,Country,151.50400000000002,0.007234132432147006,0.39047153870524864,0.6022943288626043
Andorra,2019,AND,0.48,6.286,-0.015,0.0,0.48,0.0,0.0,14.583,0.806,0.0,76361.0,,Country,0.48,0.0,1.0,0.0
Angola,2019,AGO,21.818,0.674,-0.961,0.0,13.894,2.429,1.124,615.477,10489.739,71.265,32353592.0,,Country,16.323,0.0,0.8511915701770508,0.1488084298229492
Anguilla,2019,AIA,0.154,9.988,0.011,0.0,0.154,0.0,0.0,3.312,0.0,0.0,15408.0,,Country,0.154,0.0,1.0,0.0
Antarctica,2019,ATA,,,,,,,,,,,,,Country,,,,
Antigua and Barbuda,2019,ATG,0.498,5.409,0.0,0.0,0.498,0.0,0.0,21.108,-8.097,0.0,92127.0,,Country,0.498,0.0,1.0,0.0
Argentina,2019,ARG,178.512,3.989,-2.088,2.143,74.848,95.608,4.141,8280.789,13258.624,44.334,44745516.0,,Country,172.599,0.012416062665484735,0.4336525704088668,0.5539313669256485
Armenia,2019,ARM,6.284,2.228,0.458,0.011,1.044,4.888,0.341,370.055,251.753,0.623,2820604.0,,Country,5.943,0.001850917045263335,0.1756688541140838,0.8224802288406529
Aruba,2019,ABW,0.912,8.57,0.04,0.0,0.912,0.0,0.0,75.229,,,106458.0,,Country,0.912,0.0,1.0,0.0
Australia,2019,AUS,416.357,16.42,0.073,164.471,143.085,81.694,3.04,18177.723,13720.104,24.036,25357168.0,,Country,389.25000000000006,0.42253307642903015,0.3675915221579961,0.20987540141297364
Austria,2019,AUT,67.936,7.651,1.379,13.005,34.087,17.793,1.771,5445.037,217.605,-2.125,8879939.0,,Country,64.885,0.20043153271172073,0.5253448408723126,0.2742236264159667
Azerbaijan,2019,AZE,37.738,3.688,3.162,0.004,12.097,24.122,1.096,2454.483,842.72,7.475,10232761.0,,Country,36.223,0.00011042707671921156,0.3339590867680755,0.6659304861552052
Bahamas,2019,BHS,2.535,6.267,-0.165,0.004,2.532,0.0,0.0,167.079,7.291,-0.037,404563.0,,Country,2.536,0.0015772870662460567,0.998422712933754,0.0
Bahrain,2019,BHR,37.814,25.307,5.027,0.0,3.748,33.13,0.615,895.656,0.0,0.0,1494195.0,,Country,36.878,0.0,0.10163240956667932,0.8983675904333207
Bangladesh,2019,BGD,91.657,0.554,9.164,15.004,16.781,58.373,1.474,1466.249,4736.453,20.299,165516224.0,,Country,90.15799999999999,0.16641895339293242,0.18612879611348968,0.647452250493578
Barbados,2019,BRB,1.177,4.201,-0.11,0.0,1.041,0.048,0.071,53.963,3.298,-0.11,280193.0,,Country,1.089,0.0,0.9559228650137741,0.0440771349862259
Belarus,2019,BLR,62.039,6.413,-0.055,4.1,18.037,36.628,2.276,4889.782,4013.839,-3.627,9673971.0,,Country,58.765,0.0697694205734706,0.30693439972772907,0.6232961796988004
Belgium,2019,BEL,99.433,8.638,-0.441,13.192,45.243,36.199,2.819,12458.06,353.832,2.895,11510569.0,,Country,94.634,0.13940021556734367,0.47808398672781455,0.3825157977048418
Belize,2019,BLZ,0.707,1.817,0.103,0.0,0.707,0.0,0.0,18.529,263.845,4.14,389103.0,,Country,0.707,0.0,1.0,0.0
Benin,2019,BEN,7.144,0.581,-0.29,0.271,6.379,0.106,0.388,104.017,1214.213,12.274,12290443.0,,Country,6.755999999999999,0.040112492599171115,0.9441977501480167,0.015689757252812315
Bermuda,2019,BMU,0.583,9.127,-0.121,0.0,0.583,0.0,0.0,28.458,,,63833.0,,Country,0.583,0.0,1.0,0.0
Bhutan,2019,BTN,1.447,1.886,0.098,0.421,0.572,0.0,0.454,16.697,1057.943,6.815,767467.0,,Country,0.9929999999999999,0.4239677744209467,0.5760322255790534,0.0
Bolivia,2019,BOL,23.239,1.973,-0.56,0.026,12.754,8.867,1.538,533.172,7658.456,17.551,11777318.0,,Country,21.647,0.0012010902203538597,0.5891809488612741,0.4096179609183721
